id,date_found,address,street,cluster,type,beds,rent,landlord_or_source,score,status,source_url,notes
1,2026-06-10,202 Brunswick Ave,Brunswick Ave,B,unit-in-house,2,3000,REW + Zumper address page,9,verify-availability-date,https://www.rew.ca/rentals/7022822/202-brunswick-avenue-toronto-on,"Renovated 2BR/1BA ~1200sqft in converted house, Harbord Village. Point2Homes link DIED 06-10 (user screenshot) — relisted on REW at $3000. ⭐ 6 rental units at this address (one managed by Royal York PM) → portfolio fingerprint. All units: https://www.zumper.com/address/202-brunswick-ave-toronto-on-m5s-2m5-can . Fallback: google '202 Brunswick Ave Toronto rent'."
2,2026-06-10,327 Brunswick Ave (entire 2nd flr),Brunswick Ave,B,unit-in-house,2,2500,Zumper address page,9,verify-availability-date,https://www.zumper.com/address/327-brunswick-ave-toronto-on-m5r-2z1-can,"2BR+den, entire 2nd floor of Edwardian house, heat+water incl, W/D, permit parking. Non-smokers, no pets. ⭐ Address page shows 7 rental units here → portfolio landlord (see landlord-leads). Fallback: google '327 Brunswick Ave Toronto rent'."
3,2026-06-10,200-222 Elm St (Elm Place),Elm St,C,excluded:apartment-building,2,1699-3150,Sterling Karamar,0,excluded,https://www.sterlingkaramar.com/apartments-for-rent/elm-place,Apartment complex — violates 'no apartment building'. Logged so we don't re-surface.
4,2026-06-10,50 Prince Arthur Ave,Prince Arthur Ave,A,excluded:apartment-building,2,4479+,Hollyburn / GWLRA,0,excluded,https://www.hollyburn.com/building/prince-arthur/,Apartment tower + over budget. Excluded.
5,2026-06-10,85 Lowther Ave,Lowther Ave,A,excluded:apartment-building,2,,Briarlane,0,excluded,https://www.rentmaps.ca/rentersmx/index.cfm?fuseaction=search.unitOverview&Un_ID=09080F0C,Apartment building. Excluded.
6,2026-06-10,153 Robert St #2B,Robert St,B,unit-in-house,2,2500,Zumper (stale cache),n/a,EXPIRED-lead-only,https://www.zumper.com/address/153-robert-st-toronto-on-m5s-2k6-can,"❌ HUMAN-VERIFIED EXPIRED 06-10: user checked Zumper — nothing available at 153 Robert. My earlier 'available' claim came from stale SEO-cached search snippets (lesson logged in QC protocol). STILL VALUABLE AS LEAD: Victorian multiplex w/ 5-unit rental history on her fav street → contact owner about Sept 1 turnover. Last known specs: 2BR/1BA $2500, deck, A/C, heat+water incl."
7,2026-06-10,81 Brunswick Ave,Brunswick Ave,B,unit-in-house,2,2675,REALTOR.ca MLS C13158120,9,verify-availability-date,https://www.realtor.ca/real-estate/29786691/81-brunswick-avenue-toronto-university,"Cross-verified on 5+ sites 06-10. Multiple units in this house ($2300 2BR lower / $2675): possible portfolio owner. Pet-friendly, in-unit laundry, exposed brick. NOTE: also listed FOR SALE (REMAX, same MLS) — could mean new owner mid-lease; ask. Alt link: https://www.zumper.com/address/81-brunswick-ave-toronto-on-m5s-2l8-can"
8,2026-06-10,227 Beverley St Unit 2,Beverley St,C,unit-in-house,2,2950,Condos.ca / Strata.ca,8,verify-still-available,https://condos.ca/toronto/227-beverley-street-toronto/unit-2-C11900363,"2BR/1BA townhouse near U of T/OCAD/TMU, Juliette balcony, hardwood, coin laundry. NOTE: Unit 3 also listed (~$3099) = same owner renting multiple units → possible portfolio landlord (see landlord-leads)."
9,2026-06-10,157 Beverley St Unit 2,Beverley St,C,unit-in-house,2,,REW,7,verify-beds-and-rent,https://www.rew.ca/rentals/2961376/157-beverley-street-toronto-on,"Newly reno Victorian unit, quartz counters, walk to U of T/OCAD. Confirm bed count + rent."
10,2026-06-10,Robert St & Bloor St W,Robert St,B,unit-in-house,2,2950,WebSearch,8,verify-still-available,,"⭐ Robert St. 2BR, $2950, Sept 1 move-in. Locate exact addr + contact."
11,2026-06-10,344 Brunswick Ave,Brunswick Ave,B,unit-in-house,2,2850,Zumper,8,verify-availability-date,https://www.zumper.com/apartments-for-rent/36515117/2-bedroom-south-annex-toronto-on,"2BR in South Annex, $2850. Listing-ID link (fragile) — fallback: google '344 Brunswick Ave Toronto rent'."
